 Interrupt        Pwm     refPos    readPos   refSpeed  readSpeed      State   PwmLimit PSU_Rail(mV) Voltage(mV) Current(mA) Current2(mA)      Event    gCounts     gTrace  Timestamp
  83274739      14375     470967     466048        394        261      ACCEL      39000          0          0          0          0          0          0 0x00000000  999958665
  83274740      14565     471369     466304        402        269      ACCEL      39000          0          0          0          0          0          0 0x00000000  999959865
  83274741      14903     471779     466592        410        274      ACCEL      39000          0          0          0          0          0          0 0x00000000  999961065
  83274742      14712     472197     466880        418        288      ACCEL      39000          0          0          0          0          0          0 0x00000000  999962265
  83274743      15372     472623     467168        426        288      ACCEL      39000          0          0          0          0          0          0 0x00000000  999963465
  83274744      15141     473057     467456        434        303      ACCEL      39000          0          0          0          0          0          0 0x00000000  999964666
  83274745      15420     473499     467776        442        309      ACCEL      39000          0          0          0          0          0          0 0x00000000  999965865
  83274746      15409     473949     468096        450        320      ACCEL      39000          0          0          0          0          0          0 0x00000000  999967066
  83274747      15768     474407     468416        458        325      ACCEL      39000          0          0          0          0          0          0 0x00000000  999968264
  83274748      16078     474873     468736        466        331      ACCEL      39000          0          0          0          0          0          0 0x00000000  999969466
  83274749      16177     475347     469088        474        340      ACCEL      39000          0          0          0          0          0          0 0x00000000  999970665
  83274750      16106     475829     469440        482        352      ACCEL      39000          0          0          0          0          0          0 0x00000000  999971864
  83274751      16465     476319     469792        490        357      ACCEL      39000          0          0          0          0          0          0 0x00000000  999973065
  83274752      16613     476817     470176        498        365      ACCEL      39000          0          0          0          0          0          0 0x00000000  999974265
  83274753      16994     477323     470528        506        370      ACCEL      39000          0          0          0          0          0          0 0x00000000  999975466
  83274754      16803     477837     470912        514        384      ACCEL      39000          0          0          0          0          0          0 0x00000000  999976666
  83274755      17102     478359     471296        522        390      ACCEL      39000          0          0          0          0          0          0 0x00000000  999977865
  83274756      17370     478889     471712        530        396      ACCEL      39000          0          0          0          0          0          0 0x00000000  999979066
  83274757      16809     479427     472128        538        416      ACCEL      39000          0          0          0          0          0          0 0x00000000  999980265
  83274758      17458     479973     472544        546        416      ACCEL      39000          0          0          0          0          0          0 0x00000000  999981465
  83274759      17697     480527     472960        554        423      ACCEL      39000          0          0          0          0          0          0 0x00000000  999982665
  83274760      17305     481089     473408        562        440      ACCEL      39000          0          0          0          0          0          0 0x00000000  999983865
  83274761      17944     481659     473856        570        440      ACCEL      39000          0          0          0          0          0          0 0x00000000  999985065
  83274762      17693     482237     474304        578        455      ACCEL      39000          0          0          0          0          0          0 0x00000000  999986266
  83274763      18352     482823     474752        586        455      ACCEL      39000          0          0          0          0          0          0 0x00000000  999987465
  83274764      17961     483417     475232        594        472      ACCEL      39000          0          0          0          0          0          0 0x00000000  999988666
  83274765      18119     484019     475712        602        480      ACCEL      39000          0          0          0          0          0          0 0x00000000  999989865
  83274766      18768     484629     476192        610        480      ACCEL      39000          0          0          0          0          0          0 0x00000000  999991064
  83274767      18468     485247     476672        618        496      ACCEL      39000          0          0          0          0          0          0 0x00000000  999992265
  83274768      18676     485873     477184        626        503      ACCEL      39000          0          0          0          0          0          0 0x00000000  999993475
  83274769      18294     486507     477696        634        520      ACCEL      39000          0          0          0          0          0          0 0x00000000  999994665
  83274770      19022     487149     478240        642        518      ACCEL      39000          0          0          0          0          0          0 0x00000000  999995865
  83274771      19021     487799     478752        650        529      ACCEL      39000          0          0          0          0          0          0 0x00000000  999997064
  83274772      18749     488457     479296        658        544      ACCEL      39000          0          0          0          0          0          0 0x00000000  999998266
  83274773      19388     489123     479840        666        544      ACCEL      39000          0          0          0          0          0          0 0x00000000  999999465
  83274774      19215     489797     480416        674        557      ACCEL      39000          0          0          0          0          0          0 0x00000000 1000000665
  83274775      18975     490479     480960        682        572      ACCEL      39000          0          0          0          0          0          0 0x00000000 1000001865
  83274776      19963     491169     481536        690        566      ACCEL      39000          0          0          0          0          0          0 0x00000000 1000003066
  83274777      19462     491867     482112        698        585      ACCEL      39000          0          0          0          0          0          0 0x00000000 1000004265
  83274778      19889     492573     482720        706        588      ACCEL      39000          0          0          0          0          0          0 0x00000000 1000005466
